,cod,valor,periodo
462,13,468,2006-01-15
463,14,109,2006-01-15
464,15,1087,2006-01-15
465,16,122,2006-01-15
466,17,332,2006-01-15
467,21,899,2006-01-15
468,31,3778,2006-01-15
469,23,1708,2006-01-15
470,24,488,2006-01-15
471,25,709,2006-01-15
472,26,1502,2006-01-15
473,27,574,2006-01-15
474,28,379,2006-01-15
475,29,1771,2006-01-15
476,53,512,2006-01-15
477,52,1504,2006-01-15
478,51,819,2006-01-15
479,50,697,2006-01-15
480,43,2034,2006-01-15
481,42,1959,2006-01-15
482,41,3026,2006-01-15
483,35,7433,2006-01-15
484,33,3145,2006-01-15
485,32,933,2006-01-15
486,51,891,2007-01-15
487,52,1558,2007-01-15
488,53,566,2007-01-15
489,12,102,2007-01-15
490,11,396,2007-01-15
491,13,393,2007-01-15
492,14,140,2007-01-15
493,15,1109,2007-01-15
494,16,102,2007-01-15
495,17,439,2007-01-15
496,21,1117,2007-01-15
497,22,675,2007-01-15
498,23,1729,2007-01-15
499,24,484,2007-01-15
500,25,724,2007-01-15
501,26,1492,2007-01-15
502,27,660,2007-01-15
503,28,426,2007-01-15
504,29,2001,2007-01-15
505,31,3858,2007-01-15
506,32,1053,2007-01-15
507,33,2712,2007-01-15
508,35,7847,2007-01-15
509,41,3196,2007-01-15
510,42,1983,2007-01-15
511,43,2075,2007-01-15
512,50,691,2007-01-15
513,12,119,2008-01-15
514,53,531,2008-01-15
515,52,1726,2008-01-15
516,51,1022,2008-01-15
517,50,721,2008-01-15
518,43,2103,2008-01-15
519,42,1878,2008-01-15
520,41,3258,2008-01-15
521,35,7950,2008-01-15
522,33,2613,2008-01-15
523,32,1072,2008-01-15
524,31,3945,2008-01-15
525,29,1789,2008-01-15
526,28,446,2008-01-15
527,27,592,2008-01-15
528,26,1582,2008-01-15
529,25,821,2008-01-15
530,24,482,2008-01-15
531,23,1742,2008-01-15
532,22,767,2008-01-15
533,21,1233,2008-01-15
534,17,459,2008-01-15
535,16,95,2008-01-15
536,15,1177,2008-01-15
537,14,120,2008-01-15
538,13,470,2008-01-15
539,11,498,2008-01-15
540,11,522,2009-01-15
541,53,524,2009-01-15
542,52,1771,2009-01-15
543,51,1081,2009-01-15
544,50,702,2009-01-15
545,43,2086,2009-01-15
546,42,1870,2009-01-15
547,41,3128,2009-01-15
548,35,7331,2009-01-15
549,33,2388,2009-01-15
550,32,956,2009-01-15
551,31,3966,2009-01-15
552,29,1900,2009-01-15
553,28,512,2009-01-15
554,27,659,2009-01-15
555,26,1786,2009-01-15
556,25,810,2009-01-15
557,24,508,2009-01-15
558,23,1613,2009-01-15
559,22,810,2009-01-15
560,21,1204,2009-01-15
561,17,465,2009-01-15
562,16,116,2009-01-15
563,15,1082,2009-01-15
564,14,128,2009-01-15
565,13,428,2009-01-15
566,12,123,2009-01-15
567,24,653,2010-01-15
568,53,559,2010-01-15
569,52,2024,2010-01-15
570,51,1132,2010-01-15
571,50,775,2010-01-15
572,43,2299,2010-01-15
573,42,1889,2010-01-15
574,41,3446,2010-01-15
575,35,7685,2010-01-15
576,33,2931,2010-01-15
